Fecha,Site,flow,Device,Loading,Shipping,Payments,Review,Congrats,missing,day_of_week,month,year,Shipping_ratio,Payments_ratio,Review_ratio,Congrats_ratio,TOTAL,input_on_Shipping,missing_on_Shipping,input_on_Payments,missing_on_Payments,input_on_Review,missing_on_Review,input_on_Congrats,missing_on_Congrats,anomaly
2019-03-04 00:00:00+00:00,MLA,direct,Desktop,58379,55362,46292,33694,32567,False,0,3,2019,0.948,0.836,0.728,0.9670000000000001,0.588,False,False,False,False,False,False,False,False,False
2019-03-04 00:00:00+00:00,MLA,direct,Mobile,65201,61234,46690,28911,26454,False,0,3,2019,0.9390000000000001,0.762,0.619,0.915,0.43200000000000005,False,False,False,False,False,False,False,False,False
2019-03-04 00:00:00+00:00,MLA,direct,iOS,24166,22199,18156,12852,11881,False,0,3,2019,0.919,0.818,0.708,0.924,0.535,False,False,False,False,False,False,False,False,False
2019-03-04 00:00:00+00:00,MLC,direct,Desktop,21177,20968,18204,15133,14332,False,0,3,2019,0.99,0.868,0.831,0.9470000000000001,0.684,False,False,False,False,False,False,False,False,False
2019-03-04 00:00:00+00:00,MLC,direct,Mobile,17535,17390,13430,10366,9153,False,0,3,2019,0.992,0.772,0.772,0.883,0.526,False,False,False,False,False,False,False,False,False
2019-03-04 00:00:00+00:00,MLU,direct,Desktop,1243,1213,1047,833,808,False,0,3,2019,0.976,0.863,0.7959999999999999,0.97,0.6659999999999999,False,False,False,False,False,False,False,False,False
2019-03-04 00:00:00+00:00,MLU,direct,Mobile,2110,2074,1713,1285,1188,False,0,3,2019,0.983,0.826,0.75,0.925,0.573,False,False,False,False,False,False,False,False,False
2019-03-05 00:00:00+00:00,MLA,cart,Android,0,7459,5542,3918,3673,False,1,3,2019,0.0,0.743,0.7070000000000001,0.937,0.49200000000000005,False,False,False,False,False,False,False,False,False
2019-03-05 00:00:00+00:00,MLA,cart,Desktop,0,4271,3371,2881,2806,False,1,3,2019,0.0,0.789,0.855,0.9740000000000001,0.657,False,False,False,False,False,False,False,False,False
2019-03-05 00:00:00+00:00,MLA,cart,Mobile,0,2638,2016,1445,1382,False,1,3,2019,0.0,0.764,0.7170000000000001,0.956,0.524,False,False,False,False,False,False,False,False,False
